Mode,Date,Time,RTT,CPU,RAM,Latency,LossRate,Throughput,SuccessRate
Normal,2025-05-13,14:29:06,0.2917006015777588,49.0,78.4,0.1458503007888794,0.0,342.81725666356897,100.0
Normal,2025-05-13,14:29:06,0.3758349418640136,39.6,78.5,0.1879174709320068,0.0,266.0742492542976,100.0
Normal,2025-05-13,14:29:06,0.4318406581878662,51.8,78.4,0.2159203290939331,0.0,231.56689418645803,100.0
DDoS,2025-05-13,14:29:06,0.5163371562957764,78.6,78.4,0.2581685781478882,100.0,19.367190367899155,0.0
Normal,2025-05-13,14:29:06,0.5830309391021729,100.0,78.4,0.2915154695510864,0.0,171.51748439627073,100.0
Normal,2025-05-13,14:29:06,0.5834996700286865,92.9,78.4,0.2917498350143432,0.0,171.37970274273457,100.0
DDoS,2025-05-13,14:29:06,0.5909647941589355,91.7,78.4,0.2954823970794678,100.0,16.921481785107108,0.0
DDoS,2025-05-13,14:29:06,0.6784787178039551,69.4,78.3,0.3392393589019775,100.0,14.738855821988327,0.0
DDoS,2025-05-13,14:29:06,0.6483232975006104,66.7,78.4,0.3241616487503052,100.0,15.42440328544662,0.0
DDoS,2025-05-13,14:29:06,0.6564674377441406,66.2,78.4,0.3282337188720703,100.0,15.233048015852262,0.0
Normal,2025-05-13,14:29:10,0.1727595329284668,55.4,78.5,0.0863797664642334,0.0,578.839258852397,100.0
Normal,2025-05-13,14:29:10,0.1784780025482177,46.4,78.2,0.0892390012741088,0.0,560.2931373740801,100.0
Normal,2025-05-13,14:29:11,0.2458515167236328,50.0,78.1,0.1229257583618164,0.0,406.74957524224766,100.0
DDoS,2025-05-13,14:29:11,0.2427558898925781,57.1,78.1,0.121377944946289,100.0,41.19364520640508,0.0
DDoS,2025-05-13,14:29:11,0.1936953067779541,58.3,78.1,0.096847653388977,100.0,51.62747702226813,0.0
Normal,2025-05-13,14:29:11,0.2707629203796386,86.0,78.1,0.1353814601898193,0.0,369.3267891326821,100.0
Normal,2025-05-13,14:29:11,0.4751999378204345,52.0,78.1,0.2375999689102172,0.0,210.43773797333145,100.0
DDoS,2025-05-13,14:29:11,0.4447946548461914,62.1,78.1,0.2223973274230957,100.0,22.482284557708923,0.0
DDoS,2025-05-13,14:29:11,0.4454572200775146,58.6,78.1,0.2227286100387573,100.0,22.4488448032336,0.0
DDoS,2025-05-13,14:29:11,0.4447946548461914,62.1,78.1,0.2223973274230957,100.0,22.482284557708923,0.0
Normal,2025-05-13,14:29:15,0.1874313354492187,44.8,78.3,0.0937156677246093,0.0,533.5287173851101,100.0
Normal,2025-05-13,14:29:15,0.2123496532440185,54.4,78.3,0.1061748266220092,0.0,470.9214188595186,100.0
DDoS,2025-05-13,14:29:15,0.195737600326538,58.6,78.3,0.097868800163269,100.0,51.088804518485766,0.0
DDoS,2025-05-13,14:29:15,0.3215291500091553,91.2,78.3,0.1607645750045776,100.0,31.10137914312049,0.0
Normal,2025-05-13,14:29:15,0.3026931285858154,90.0,78.3,0.1513465642929077,0.0,330.3675919806992,100.0
Normal,2025-05-13,14:29:15,0.1958856582641601,77.6,78.3,0.09794282913208,0.0,510.50189629067046,100.0
DDoS,2025-05-13,14:29:15,0.3112802505493164,48.2,78.3,0.1556401252746582,100.0,32.12539177269677,0.0
DDoS,2025-05-13,14:29:16,0.4263749122619629,61.4,78.3,0.2131874561309814,100.0,23.453537514552558,0.0
DDoS,2025-05-13,14:29:16,0.4858393669128418,64.9,78.4,0.2429196834564209,100.0,20.58293477439421,0.0
Normal,2025-05-13,14:29:16,0.4364974498748779,64.9,78.4,0.2182487249374389,0.0,229.0964128854934,100.0
Normal,2025-05-13,14:29:19,0.1862819194793701,47.5,78.4,0.093140959739685,0.0,536.8207514689827,100.0
DDoS,2025-05-13,14:29:19,0.2689292430877685,53.1,78.5,0.1344646215438842,100.0,37.18450208383017,0.0
Normal,2025-05-13,14:29:19,0.2809586524963379,55.4,78.5,0.1404793262481689,0.0,355.9242582902957,100.0
DDoS,2025-05-13,14:29:20,0.4337108135223388,87.1,78.4,0.2168554067611694,100.0,23.05683807785654,0.0
Normal,2025-05-13,14:29:20,0.3308529853820801,84.6,78.4,0.16542649269104,0.0,302.24904842408074,100.0
Normal,2025-05-13,14:29:20,0.3934400081634521,86.7,78.4,0.196720004081726,0.0,254.1683558486905,100.0
DDoS,2025-05-13,14:29:20,0.1960816383361816,88.9,78.5,0.0980408191680908,100.0,50.99916588240158,0.0
DDoS,2025-05-13,14:29:20,0.25823974609375,75.4,78.5,0.129119873046875,100.0,38.72370597967384,0.0
Normal,2025-05-13,14:29:20,0.3257839679718017,54.9,78.5,0.1628919839859008,0.0,306.95187557128503,100.0
DDoS,2025-05-13,14:29:20,0.3797090053558349,54.2,78.5,0.1898545026779174,100.0,26.33595690107151,0.0
Normal,2025-05-13,14:29:24,0.1906285285949707,98.2,79.4,0.0953142642974853,0.0,524.5804536028836,100.0
DDoS,2025-05-13,14:29:24,0.3126776218414306,100.0,79.6,0.1563388109207153,100.0,31.98182185571098,0.0
Normal,2025-05-13,14:29:24,0.2618186473846435,100.0,79.6,0.1309093236923217,0.0,381.9437652700413,100.0
DDoS,2025-05-13,14:29:24,0.3323202133178711,74.1,79.6,0.1661601066589355,100.0,30.091458777545967,0.0
Normal,2025-05-13,14:29:25,0.6402609348297119,73.7,79.5,0.3201304674148559,0.0,156.18632117012834,100.0
Normal,2025-05-13,14:29:25,0.6877343654632568,70.4,79.6,0.3438671827316284,0.0,145.40497759282417,100.0
DDoS,2025-05-13,14:29:25,0.6735439300537109,73.4,79.6,0.3367719650268554,100.0,14.846841540391528,0.0
DDoS,2025-05-13,14:29:25,0.6426429748535156,54.2,79.5,0.3213214874267578,100.0,15.560739619505537,0.0
Normal,2025-05-13,14:29:25,0.4054346084594726,57.1,79.5,0.2027173042297363,0.0,246.6488995105015,100.0
DDoS,2025-05-13,14:29:25,0.4588520526885986,57.8,79.5,0.2294260263442993,100.0,21.79351697656353,0.0
Normal,2025-05-13,14:29:28,0.1935303211212158,36.7,79.4,0.0967651605606079,0.0,516.7148972866427,100.0
DDoS,2025-05-13,14:29:28,0.2720508575439453,63.3,79.4,0.1360254287719726,100.0,36.75783304003982,0.0
Normal,2025-05-13,14:29:28,0.25836181640625,42.9,79.4,0.129180908203125,0.0,387.0540987479329,100.0
DDoS,2025-05-13,14:29:29,0.2451720237731933,31.1,79.4,0.1225860118865966,100.0,40.78768795109722,0.0
Normal,2025-05-13,14:29:29,0.3500847816467285,47.9,79.4,0.1750423908233642,0.0,285.645092967538,100.0
DDoS,2025-05-13,14:29:29,0.4765465259552002,44.9,79.5,0.2382732629776001,100.0,20.984309936906545,0.0
DDoS,2025-05-13,14:29:30,0.5766551494598389,78.8,79.5,0.2883275747299194,100.0,17.3413868052113,0.0
Normal,2025-05-13,14:29:30,0.6807737350463867,73.2,79.5,0.3403868675231933,0.0,146.89168346541186,100.0
